complex_name,food,clothing,wood,petrochemical,non_metal,metal,machinery,electronics,trans,other,non_manu,complex_group
강릉중소일반산업단지,0.033333333,0,0.1,0,0,0,0.533333333,0.1,0.066666667,0,0.166666667,일반
강진환경산업단지,0.1875,0,0,0.3125,0.125,0.0625,0.125,0.125,0.0625,0,0,일반
강화일반산업단지,0.042253521,0.028169014,0.084507042,0.169014085,0.028169014,0.014084507,0.450704225,0.126760563,0,0,0.056338028,일반
강화하점일반산업단지,0,0.3,0.1,0.4,0,0,0,0.1,0.1,0,0,일반
거제모사일반산업단지,0,0,0,0,0,0,0,0,1,0,0,일반
거제오비일반산업단지,0,0,0,0,0,0,0,0,1,0,0,일반
거창일반산업단지,0.235294118,0,0.078431373,0,0,0.058823529,0.549019608,0,0.019607843,0,0.058823529,일반
경북바이오일반산업단지,0.564102564,0,0,0.179487179,0.025641026,0,0.102564103,0,0,0,0.128205128,일반
경산제1일반산업단지,0.005235602,0.209424084,0.02617801,0.141361257,0.010471204,0.036649215,0.277486911,0.041884817,0.172774869,0.052356021,0.02617801,일반
경산제2일반산업단지,0.091954023,0.310344828,0,0.137931034,0,0.022988506,0.137931034,0.114942529,0.114942529,0.034482759,0.034482759,일반
